id,x,y,v
0,0.3263281285762787,-1.4063280820846558,3.21419095993042
1,0.3404492139816284,-1.5125585794448853,3.330561399459839
2,0.35521483421325684,-1.6226366758346558,3.443054437637329
3,0.37296873331069946,-1.7360742092132568,3.5498106479644775
4,0.39455077052116394,-1.8525584936141968,3.6474287509918213
5,0.42027342319488525,-1.9716601371765137,3.7408266067504883
6,0.450507789850235,-2.0931053161621094,3.8243587017059326
7,0.4854491949081421,-2.216425657272339,3.9029464721679688
8,0.5253515243530273,-2.341249942779541,3.974898099899292
9,0.5703125,-2.467167854309082,4.083026885986328
10,0.6173437237739563,-2.596074104309082,4.217685699462891
11,0.6626366972923279,-2.7298240661621094,4.339046001434326
12,0.705371081829071,-2.868300676345825,4.453195571899414
13,0.74574214220047,-3.0112500190734863,4.565598011016846
14,0.7850390672683716,-3.1583592891693115,4.677613735198975
15,0.824511706829071,-3.309257745742798,4.785043239593506
16,0.8680077791213989,-3.4628124237060547,4.885479927062988
17,0.91615229845047,-3.618535041809082,4.9778666496276855
18,0.9692577719688416,-3.776015520095825,5.090559005737305
19,1.020937442779541,-3.9377927780151367,5.2322821617126465
20,1.069921851158142,-4.104784965515137,5.325718402862549
21,1.119726538658142,-4.275273323059082,5.4765143394470215
22,1.1705468893051147,-4.450898170471191,5.492329120635986
23,1.2216014862060547,-4.626659870147705,5.716733932495117
24,1.2747851610183716,-4.810019493103027,5.721957683563232
25,1.3279296159744263,-4.993066310882568,5.943244457244873
26,1.383242130279541,-5.183632850646973,5.944048881530762
27,1.4384374618530273,-5.373749732971191,6.161326885223389
28,1.4958007335662842,-5.571249961853027,6.158610820770264
29,1.55300772190094,-5.768202781677246,6.371661186218262
30,1.612343668937683,-5.972421646118164,6.365694046020508
31,1.6715234518051147,-6.175976276397705,6.57433557510376
32,1.7327734231948853,-6.386640548706055,6.565263748168945
33,1.7938281297683716,-6.596581935882568,6.769468784332275
34,1.8569140434265137,-6.813496112823486,6.7574591636657715
35,1.9197851419448853,-7.02957010269165,6.957255840301514
36,1.98464834690094,-7.252460956573486,6.942423343658447
37,2.0492773056030273,-7.474433422088623,7.137795925140381
38,2.115859270095825,-7.703105449676514,7.120081424713135
39,2.1821484565734863,-7.930761337280273,7.310891628265381
40,2.250370979309082,-8.16494083404541,7.290159225463867
41,2.318300724029541,-8.398027420043945,7.476222515106201
42,2.3881053924560547,-8.637499809265137,7.45220947265625
43,2.4575586318969727,-8.875761985778809,7.633363246917725
44,2.5288476943969727,-9.120253562927246,7.6059417724609375
45,2.599785089492798,-9.363417625427246,7.7820329666137695
46,2.672499895095825,-9.612655639648438,7.750772476196289
47,2.744804620742798,-9.860448837280273,7.9211626052856445
48,2.81884765625,-10.11410140991211,7.884888648986816
49,2.8924217224121094,-10.366190910339355,8.047689437866211
50,2.9676756858825684,-10.62386703491211,8.003188133239746
51,3.0423827171325684,-10.87972640991211,8.156046867370605
52,3.11865234375,-11.140839576721191,8.101980209350586
53,3.1943163871765137,-11.399824142456055,8.244997024536133
54,3.2714452743530273,-11.663788795471191,8.18163013458252
55,3.347851514816284,-11.92529296875,8.315496444702148
56,3.425663948059082,-12.191484451293945,8.24353313446045
57,3.5026562213897705,-12.454960823059082,8.369132995605469
58,3.5809569358825684,-12.722851753234863,8.294343948364258
59,3.655703067779541,-12.988749504089355,8.373595237731934
60,3.7270703315734863,-13.258710861206055,8.314191818237305
61,3.79400372505188,-13.527480125427246,8.343932151794434
62,3.856034994125366,-13.798710823059082,8.267495155334473
63,3.9207420349121094,-14.06630802154541,8.328895568847656
64,3.9867186546325684,-14.336034774780273,8.217534065246582
65,4.052285194396973,-14.601640701293945,8.295333862304688
66,4.118242263793945,-14.870272636413574,8.170088768005371
67,4.183359146118164,-15.134374618530273,8.248292922973633
68,4.248574256896973,-15.40160083770752,8.118786811828613
69,4.312949180603027,-15.664140701293945,8.193334579467773
70,4.37673807144165,-15.929862976074219,8.064550399780273
71,4.436816215515137,-16.191619873046875,8.100193977355957
72,4.492558479309082,-16.455936431884766,7.993809223175049
73,4.543574333190918,-16.717344284057617,7.987642765045166
74,4.588984489440918,-16.979862213134766,7.873112201690674
75,4.629296779632568,-17.239120483398438,7.864604949951172
76,4.663300514221191,-17.49933624267578,7.723984718322754
77,4.693320274353027,-17.754980087280273,7.724930286407471
78,4.716113090515137,-18.011816024780273,7.566219806671143
79,4.735683441162109,-18.263164520263672,7.564319133758545
80,4.747402191162109,-18.51542854309082,7.40045690536499
81,4.755878925323486,-18.76189422607422,7.4011101722717285
82,4.756289005279541,-19.009061813354492,7.255408763885498
83,4.752245903015137,-19.25093650817871,7.305794715881348
84,4.74832010269165,-19.49476432800293,7.143642902374268
85,4.744746208190918,-19.732616424560547,7.150108337402344
86,4.742480278015137,-19.971073150634766,6.978020668029785
87,4.740175724029541,-20.203378677368164,7.001036643981934
88,4.737832069396973,-20.436933517456055,6.805917263031006
89,4.735156059265137,-20.663476943969727,6.8464179039001465
90,4.732265472412109,-20.89191436767578,6.657520771026611
91,4.729316234588623,-21.113554000854492,6.705574035644531
92,4.726152420043945,-21.337343215942383,6.52658748626709
93,4.723085880279541,-21.55464744567871,6.5869646072387695
94,4.719824314117432,-21.774511337280273,6.422691345214844
95,4.716796875,-21.9883975982666,6.496492862701416
96,4.713457107543945,-22.205291748046875,6.341032028198242
97,4.710527420043945,-22.41648292541504,6.418886184692383
98,4.707167625427246,-22.630781173706055,6.264420509338379
99,4.704296588897705,-22.839412689208984,6.343578815460205
100,4.700995922088623,-23.051191329956055,6.192999362945557
