id,x,y,v
0,0.002871093573048711,-0.12726561725139618,1.1997361183166504
1,0.9362890124320984,-192.6173553466797,27.023099899291992
2,-0.43855467438697815,-280.9799499511719,27.733951568603516
3,-3.50640606880188,-411.8952941894531,21.357606887817383
4,-3.896308422088623,-448.0829162597656,21.23464012145996
5,-3.620429515838623,-491.6528015136719,18.96814727783203
6,-2.984375,-501.986083984375,17.531204223632812
7,-1.577968716621399,-511.03546142578125,16.054309844970703
8,0.3990820348262787,-517.667236328125,15.543045043945312
9,3.440078020095825,-523.8465576171875,14.760682106018066
10,7.415996074676514,-528.9813842773438,14.28061580657959
11,12.286093711853027,-533.1024780273438,13.945570945739746
12,17.712656021118164,-536.0407104492188,13.53300952911377
13,23.407323837280273,-537.9921264648438,13.491446495056152
14,43.643516540527344,-541.7142333984375,12.851752281188965
15,50.3312873840332,-543.6801147460938,12.641912460327148
16,56.74896240234375,-547.1807861328125,12.444023132324219
17,61.3864631652832,-551.7403564453125,12.630642890930176
18,65.12560272216797,-558.1759643554688,13.465320587158203
19,67.84212493896484,-566.7788696289062,14.69969367980957
20,68.76204681396484,-573.5619506835938,14.626986503601074
21,69.1318130493164,-586.3102416992188,13.85843276977539
22,69.72954559326172,-592.8124389648438,14.257804870605469
23,71.06007385253906,-600.6255493164062,13.93662166595459
24,73.53472137451172,-609.504150390625,13.374062538146973
25,76.3481216430664,-616.5753173828125,13.16418170928955
26,79.7855224609375,-623.1221313476562,12.896925926208496
27,83.99474334716797,-629.3346557617188,13.193666458129883
28,89.88411712646484,-636.2921752929688,14.236660957336426
29,95.74574279785156,-642.085693359375,14.330693244934082
30,103.23941040039062,-648.3789672851562,14.035872459411621
31,110.28755950927734,-653.4508056640625,13.360580444335938
32,117.97454833984375,-658.0963134765625,13.014841079711914
33,124.1829833984375,-661.0620727539062,12.996458053588867
34,129.86062622070312,-663.0535888671875,12.672212600708008
35,137.00209045410156,-664.5631103515625,12.648300170898438
36,142.5683135986328,-664.9293823242188,12.928483963012695
37,147.0907440185547,-664.7230834960938,13.066177368164062
38,153.04290771484375,-663.841796875,13.105281829833984
39,158.94827270507812,-662.3010864257812,13.029613494873047
40,165.44444274902344,-659.9271850585938,12.777862548828125
41,171.77511596679688,-656.9922485351562,12.539254188537598
42,178.07855224609375,-653.4332885742188,12.602684020996094
43,188.2987518310547,-646.097900390625,12.49210262298584
44,197.15989685058594,-637.5797119140625,12.357574462890625
45,205.1082000732422,-627.3141479492188,12.997750282287598
46,212.40499877929688,-614.961181640625,12.67276382446289
47,217.31069946289062,-603.6685180664062,12.510746955871582
48,218.97198486328125,-598.2315063476562,12.506834030151367
49,220.53321838378906,-591.0603637695312,12.60078239440918
50,222.35682678222656,-576.0575561523438,14.737916946411133
51,223.3317108154297,-558.134033203125,17.36275291442871
52,224.23548889160156,-519.7073974609375,19.188243865966797
53,228.2727813720703,-472.8523864746094,14.73058795928955
54,228.3671417236328,-461.2758483886719,15.076212882995605
55,227.70855712890625,-450.0057067871094,14.62610912322998
56,226.11997985839844,-437.0164489746094,14.658580780029297
57,224.0150909423828,-426.1829528808594,13.8137788772583
58,222.3264923095703,-420.31646728515625,13.691184997558594
59,220.10745239257812,-414.5545959472656,13.24423599243164
60,217.50054931640625,-409.4153747558594,13.14985466003418
61,214.21778869628906,-404.4884948730469,12.858858108520508
62,210.53839111328125,-400.33038330078125,12.778132438659668
63,207.30343627929688,-397.5028381347656,12.622180938720703
64,202.6461639404297,-394.46002197265625,12.56168270111084
65,198.97666931152344,-392.8323059082031,12.46418571472168
66,193.6134796142578,-391.4983215332031,12.391119956970215
67,189.41246032714844,-391.2144470214844,12.340741157531738
68,183.9489288330078,-391.8392028808594,12.270516395568848
69,179.78475952148438,-393.1109619140625,12.25495719909668
70,176.01675415039062,-394.89971923828125,12.225090026855469
71,171.5872802734375,-397.9670715332031,12.192609786987305
72,167.75991821289062,-401.6940612792969,12.195462226867676
73,164.45425415039062,-406.01495361328125,12.143997192382812
74,160.45750427246094,-413.2232971191406,12.154642105102539
75,157.71742248535156,-420.6685791015625,12.16633415222168
76,155.83102416992188,-430.0456848144531,12.993753433227539
77,154.87596130371094,-440.8702392578125,14.7994966506958
78,154.66696166992188,-451.1394348144531,15.774871826171875
79,155.00042724609375,-461.3478698730469,16.062397003173828
80,158.07305908203125,-500.4071044921875,17.12971305847168
81,159.33352661132812,-525.7815551757812,17.001739501953125
82,159.0973358154297,-541.2792358398438,14.833013534545898
83,157.47775268554688,-552.9835205078125,13.972609519958496
84,155.7239227294922,-558.6481323242188,13.83116340637207
85,153.01797485351562,-564.1328125,13.383444786071777
86,149.5706787109375,-568.6756591796875,13.169496536254883
87,144.83436584472656,-572.5946655273438,12.961885452270508
88,139.5903778076172,-574.9949951171875,12.724288940429688
89,135.44207763671875,-575.8059692382812,12.64830207824707
90,131.08518981933594,-575.74658203125,12.558211326599121
91,125.92841339111328,-574.4384155273438,12.440214157104492
92,122.4040756225586,-572.6417236328125,12.490326881408691
93,119.1228256225586,-570.1146850585938,12.41666316986084
94,115.32743835449219,-565.8157958984375,12.216408729553223
95,112.98628997802734,-561.9508666992188,12.634004592895508
96,109.9960708618164,-554.7972412109375,13.074625015258789
97,105.81861114501953,-542.420166015625,11.73031997680664
98,102.24112701416016,-533.5068359375,13.277670860290527
99,96.23550415039062,-520.4080810546875,15.652843475341797
100,78.89519500732422,-485.1282653808594,14.221943855285645
101,75.8824234008789,-477.8829040527344,13.775317192077637
102,73.16860961914062,-469.2916259765625,14.660566329956055
