id,x,y,v,union,newx,newy
0,0.002871093573049,-0.127265617251396,1.199736118316650,10,0.002871093573049,-0.127265617251396
1,0.936289012432098,-192.617355346679688,27.023099899291992,10,0.936289012432098,-192.617355346679688
4,-3.896308422088623,-448.082916259765625,21.234640121459961,10,-6.044655863039040,-471.714738110220196
5,-3.620429515838623,-491.652801513671875,18.968147277832031,10,-5.291366414355616,-492.488269962930360
6,-2.984375000000000,-501.986083984375000,17.531204223632812,10,-5.013369805342060,-502.881228751437675
7,-1.577968716621399,-511.035461425781250,16.054309844970703,10,-4.442431971221950,-509.662906116285114
8,0.399082034826279,-517.667236328125000,15.543045043945312,10,-2.704086490990989,-517.309178421299976
9,3.440078020095825,-523.846557617187500,14.760682106018066,10,-0.021148412546509,-523.846557617187500
10,7.415996074676514,-528.981384277343750,14.280615806579590,10,6.699880261026366,-528.981384277343750
11,12.286093711853027,-533.102478027343750,13.945570945739746,10,14.195735881586742,-532.386362213693815
12,17.712656021118164,-536.040710449218750,13.533009529113770,10,23.083524623494199,-534.131068279485135
13,23.407323837280273,-537.992126464843750,13.491446495056152,10,34.387766313249074,-534.172842125376292
14,43.643516540527344,-541.714233398437500,12.851752281188965,10,43.762869176135695,-535.507896346802909
15,50.331287384033203,-543.680114746093750,12.641912460327148,10,51.763519011333486,-538.309246143717701
16,56.748962402343750,-547.180786132812500,12.444023132324219,10,57.584430851602235,-544.435675513820343
17,61.386463165283203,-551.740356445312500,12.630642890930176,10,61.386463165283203,-551.740356445312500
18,65.125602722167969,-558.175964355468750,13.465320587158203,10,65.125602722167969,-558.175964355468750
19,67.842124938964844,-566.778869628906250,14.699693679809570,10,67.842124938964844,-566.778869628906250
20,68.762046813964844,-573.561950683593750,14.626986503601074,10,68.762046813964844,-573.561950683593750
21,69.131813049316406,-586.310241699218750,13.858432769775391,10,69.131813049316406,-586.310241699218636
22,69.729545593261719,-592.812438964843750,14.257804870605469,10,69.729545593261719,-592.812438964843750
23,71.060073852539062,-600.625549316406250,13.936621665954590,10,71.060073852539062,-600.625549316406250
24,73.534721374511719,-609.504150390625000,13.374062538146973,10,73.534721374511719,-609.504150390625000
25,76.348121643066406,-616.575317382812500,13.164181709289551,10,76.348121643066406,-616.575317382812500
26,79.785522460937500,-623.122131347656250,12.896925926208496,10,79.785522460937500,-623.122131347656136
27,83.994743347167969,-629.334655761718750,13.193666458129883,10,83.994743347167969,-629.334655761718750
28,89.884117126464844,-636.292175292968750,14.236660957336426,10,89.884117126464844,-636.292175292968750
29,95.745742797851562,-642.085693359375000,14.330693244934082,10,95.745742797851562,-642.085693359375000
30,103.239410400390625,-648.378967285156250,14.035872459411621,10,103.239410400390625,-648.378967285156250
31,110.287559509277344,-653.450805664062500,13.360580444335938,10,110.287559509277344,-653.450805664062500
32,117.974548339843750,-658.096313476562500,13.014841079711914,10,117.974548339843750,-658.096313476562614
33,124.182983398437500,-661.062072753906250,12.996458053588867,10,124.182983398437500,-661.062072753906250
34,129.860626220703125,-663.053588867187500,12.672212600708008,10,129.860626220703125,-663.053588867187500
35,137.002090454101562,-664.563110351562500,12.648300170898438,10,137.002090454101562,-664.563110351562500
36,142.568313598632812,-664.929382324218750,12.928483963012695,10,142.568313598632812,-664.929382324218750
37,147.090744018554688,-664.723083496093750,13.066177368164062,10,147.090744018554688,-664.723083496093750
38,153.042907714843750,-663.841796875000000,13.105281829833984,10,153.042907714843750,-663.841796875000114
39,158.948272705078125,-662.301086425781250,13.029613494873047,10,158.948272705078125,-662.301086425781250
40,165.444442749023438,-659.927185058593750,12.777862548828125,10,165.444442749023438,-659.927185058593750
41,171.775115966796875,-656.992248535156250,12.539254188537598,10,171.775115966796875,-656.992248535156250
42,178.078552246093750,-653.433288574218750,12.602684020996094,10,178.078552246093750,-653.433288574218750
43,188.298751831054688,-646.097900390625000,12.492102622985840,10,188.298751831054688,-646.097900390625000
44,197.159896850585938,-637.579711914062500,12.357574462890625,10,197.159896850585966,-637.579711914062500
45,205.108200073242188,-627.314147949218750,12.997750282287598,10,205.108200073242188,-627.314147949218636
46,212.404998779296875,-614.961181640625000,12.672763824462891,10,212.404998779296875,-614.961181640625000
47,217.310699462890625,-603.668518066406250,12.510746955871582,10,217.310699462890625,-603.668518066406250
48,218.971984863281250,-598.231506347656250,12.506834030151367,10,218.971984863281250,-598.231506347656136
49,220.533218383789062,-591.060363769531250,12.600782394409180,10,221.726744739872629,-590.105542684664329
50,222.356826782226562,-576.057556152343750,14.737916946411133,10,224.266468951960263,-575.341440338693587
53,228.272781372070312,-472.852386474609375,14.730587959289551,10,228.272781372070312,-472.852386474609318
54,228.367141723632812,-461.275848388671875,15.076212882995605,10,228.367141723632812,-461.275848388671875
55,227.708557128906250,-450.005706787109375,14.626109123229980,10,227.708557128906250,-450.005706787109375
56,226.119979858398438,-437.016448974609375,14.658580780029297,10,227.313506214482004,-434.390690991225540
57,224.015090942382812,-426.182952880859375,13.813778877258301,10,226.282791018941566,-424.512015982342348
58,222.326492309570312,-420.316467285156250,13.691184997558594,10,226.265129284646093,-419.480998835897765
59,220.107452392578125,-414.554595947265625,13.244235992431641,10,225.120263088129093,-414.673948582874004
60,217.500549316406250,-409.415374755859375,13.149854660034180,10,223.468181096824082,-409.773432662684456
61,214.217788696289062,-404.488494873046875,12.858858108520508,10,220.782183654748678,-404.607847508655254
62,210.538391113281250,-400.330383300781250,12.778132438659668,10,216.983433436132486,-399.972325393956169
63,207.303436279296875,-397.502838134765625,12.622180938720703,10,212.554952246064545,-396.189959143073679
