id,x,y,v,vold
0,0.002871093573049,-0.127265617251396,6.199736118316650,1.199736118316650
1,0.936289012432098,-192.617355346679688,27.023099899291992,27.023099899291992
2,-0.438554674386978,-280.979949951171875,27.733951568603516,27.733951568603516
3,-3.506406068801880,-411.895294189453125,21.357606887817401,21.357606887817383
4,-3.896308422088623,-448.082916259765625,21.234640121459961,21.234640121459961
5,-3.620429515838623,-491.652801513671875,18.968147277832031,18.968147277832031
6,-2.984375000000000,-501.986083984375000,17.531204223632812,17.531204223632812
7,-1.577968716621399,-511.035461425781250,16.054309844970703,16.054309844970703
8,0.399082034826279,-517.667236328125000,15.543045043945312,15.543045043945312
9,3.440078020095825,-523.846557617187500,14.760682106018066,14.760682106018066
10,7.415996074676514,-528.981384277343750,14.280615806579590,14.280615806579590
11,12.286093711853027,-533.102478027343750,13.945570945739746,13.945570945739746
12,17.712656021118164,-536.040710449218750,13.533009529113770,13.533009529113770
13,23.407323837280273,-537.992126464843750,13.491446495056152,13.491446495056152
14,43.643516540527344,-541.714233398437500,12.851752281188965,12.851752281188965
15,50.331287384033203,-543.680114746093750,12.641912460327148,12.641912460327148
16,56.748962402343750,-547.180786132812500,12.444023132324219,12.444023132324219
17,61.386463165283203,-551.740356445312500,12.630642890930176,12.630642890930176
18,65.125602722167969,-558.175964355468750,14.465320587158203,13.465320587158203
19,67.842124938964844,-566.778869628906250,14.699693679809570,14.699693679809570
20,68.762046813964844,-573.561950683593750,14.626986503601074,14.626986503601074
21,69.131813049316406,-586.310241699218750,13.858432769775391,13.858432769775391
22,69.729545593261719,-592.812438964843750,15.257804870605469,14.257804870605469
23,71.060073852539062,-600.625549316406250,14.936621665954590,13.936621665954590
24,73.534721374511719,-609.504150390625000,16.374062538146973,13.374062538146973
25,76.348121643066406,-616.575317382812500,16.164181709289551,13.164181709289551
26,79.785522460937500,-623.122131347656250,16.896925926208496,12.896925926208496
27,83.994743347167969,-629.334655761718750,17.193666458129883,13.193666458129883
28,89.884117126464844,-636.292175292968750,18.236660957336422,14.236660957336426
29,95.745742797851562,-642.085693359375000,18.330693244934086,14.330693244934082
30,103.239410400390625,-648.378967285156250,18.035872459411621,14.035872459411623
31,110.287559509277344,-653.450805664062500,17.360580444335938,13.360580444335938
32,117.974548339843750,-658.096313476562500,17.014841079711914,13.014841079711914
33,124.182983398437500,-661.062072753906250,16.996458053588867,12.996458053588867
34,129.860626220703125,-663.053588867187500,16.672212600708008,12.672212600708008
35,137.002090454101562,-664.563110351562500,16.648300170898438,12.648300170898438
36,142.568313598632812,-664.929382324218750,16.928483963012695,12.928483963012695
37,147.090744018554688,-664.723083496093750,17.066177368164062,13.066177368164062
